Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
351,272,-80.33195619988427,151656,4477,40.00011667,116.3285017,-80,11,2019-03-09T00:01:10.994242953Z
350,271,-80.34699179957641,151766,4532,40.000215,116.328405,-80,10.8,2019-03-09T00:08:10.999789998Z
355,271,-80.41392685158225,151778,4538,39.99975167,116.328405,-80,10,2019-03-09T00:09:01.990376913Z
352,271,-83.3175485570292,151790,4544,40.00003333,116.3284617,-83,11.2,2019-03-09T00:09:52.00232302Z
355,269,-87.3707776445072,151832,4565,39.999765,116.3281467,-87,10.5,2019-03-09T00:12:33.000923008Z
355,270,-79.3707776445072,152036,4668,39.99974833,116.3283633,-79,10.5,2019-03-09T00:25:29.953223651Z
355,269,-83.3175485570292,152194,4748,39.99970167,116.3282517,-83,11.2,2019-03-09T00:35:33.942172231Z
358,267,-79.33195619988427,152282,4792,39.99948,116.3279483,-79,11,2019-03-09T00:41:08.917700329Z
358,267,-79.26572375596103,152288,4795,39.99948,116.3279483,-79,12,2019-03-09T00:41:28.949252202Z
356,270,-79.29706163635328,152402,4853,39.999645,116.32832,-79,11.5,2019-03-09T00:49:15.906922651Z
355,269,-89.34699179957641,152440,4872,39.99974,116.3282083,-89,10.8,2019-03-09T00:51:37.935193453Z
350,268,-80.29706163635328,152589,4948,40.00018333,116.3281317,-80,11.5,2019-03-09T01:00:40.990852926Z
350,269,-105.33195619988427,152613,4961,40.000235,116.3281717,-105,11,2019-03-09T01:02:23.993277946Z
351,269,-83.21238401914255,152615,4962,40.00010167,116.3282483,-83,13,2019-03-09T01:02:29.98505088Z
340,270,-85.43249407632486,152761,5036,40.00111167,116.3282883,-85,9.8,2019-03-09T00:00:03.359337515Z
340,270,-89.25410721860874,152763,5037,40.00111167,116.3282883,-89,12.2,2019-03-09T00:00:11.816614716Z
339,270,-83.3707776445072,152765,5038,40.00122667,116.3283167,-83,10.5,2019-03-09T00:00:17.760826325Z
339,270,-86.3175485570292,152767,5039,40.00122667,116.3283167,-86,11.2,2019-03-09T00:00:26.541389789Z
339,270,-80.18978441047734,152769,5040,40.00122667,116.3283167,-80,13.5,2019-03-09T00:00:31.759688317Z
339,270,-83.3707776445072,152771,5041,40.00122667,116.3283167,-83,10.5,2019-03-09T00:00:41.705185936Z
339,270,-79.3175485570292,152773,5042,40.00122667,116.3283167,-79,11.2,2019-03-09T00:00:47.232646628Z
339,270,-81.22214159641585,152775,5043,40.00122667,116.3283167,-81,12.8,2019-03-09T00:00:56.501323509Z
339,270,-79.3707776445072,152777,5044,40.00122667,116.3283167,-79,10.5,2019-03-09T00:01:01.882095174Z
339,270,-87.33195619988427,152779,5045,40.00122667,116.3283167,-87,11,2019-03-09T00:01:07.680374762Z
339,270,-81.33195619988427,152781,5046,40.00122667,116.3283167,-81,11,2019-03-09T00:01:12.910172371Z
339,270,-85.39612087980606,152783,5047,40.00122667,116.3283167,-85,10.2,2019-03-09T00:01:22.304963134Z
339,270,-79.21238401914255,152785,5048,40.00122667,116.3283167,-79,13,2019-03-09T00:01:31.152494067Z
339,270,-87.3175485570292,152787,5049,40.00122667,116.3283167,-87,11.2,2019-03-09T00:01:40.234585642Z
339,270,-79.3707776445072,152789,5050,40.00122667,116.3283167,-79,10.5,2019-03-09T00:01:45.501603511Z
339,270,-85.39612087980606,152791,5051,40.00122667,116.3283167,-85,10.2,2019-03-09T00:01:54.8443684Z
339,270,-79.25410721860874,152793,5052,40.00122667,116.3283167,-79,12.2,2019-03-09T00:02:04.255937696Z
339,270,-80.33195619988427,152794,5054,40.00122667,116.3283167,-80,11,2019-03-09T00:02:15.343468908Z
339,270,-80.2778545523916,152796,5055,40.00122667,116.3283167,-80,11.8,2019-03-09T00:02:20.810734703Z
339,270,-85.39612087980606,152798,5056,40.00122667,116.3283167,-85,10.2,2019-03-09T00:02:26.781685964Z
339,270,-88.2778545523916,152800,5057,40.00122667,116.3283167,-88,11.8,2019-03-09T00:02:35.267038596Z
339,270,-87.33195619988427,152802,5058,40.00122667,116.3283167,-87,11,2019-03-09T00:02:40.958413374Z
339,270,-86.2376019773414,152804,5059,40.00122667,116.3283167,-86,12.5,2019-03-09T00:02:46.546977077Z
339,270,-87.34699179957641,152806,5060,40.00122667,116.3283167,-87,10.8,2019-03-09T00:02:51.713579577Z
339,270,-89.34699179957641,152808,5061,40.00122667,116.3283167,-89,10.8,2019-03-09T00:02:59.963521328Z
339,270,-89.33195619988427,152810,5062,40.00122667,116.3283167,-89,11,2019-03-09T00:03:09.069144377Z
339,270,-89.2376019773414,152812,5063,40.00122667,116.3283167,-89,12.5,2019-03-09T00:03:17.937869559Z
339,270,-82.41392685158225,152814,5064,40.00122667,116.3283167,-82,10,2019-03-09T00:03:23.243837805Z
339,270,-99.3707776445072,152816,5065,40.00122667,116.3283167,-99,10.5,2019-03-09T00:03:28.954133412Z
339,270,-85.3175485570292,152818,5066,40.00122667,116.3283167,-85,11.2,2019-03-09T00:03:34.303025272Z
339,270,-86.25410721860874,152820,5067,40.00122667,116.3283167,-86,12.2,2019-03-09T00:03:43.908381824Z
339,270,-89.39612087980606,152822,5068,40.00122667,116.3283167,-89,10.2,2019-03-09T00:03:53.933905594Z
339,270,-99.39612087980606,152824,5069,40.00122667,116.3283167,-99,10.2,2019-03-09T00:03:59.872343148Z
339,270,-89.39612087980606,152826,5070,40.00122667,116.3283167,-89,10.2,2019-03-09T00:04:05.225789967Z
339,270,-88.25410721860874,152828,5071,40.00122667,116.3283167,-88,12.2,2019-03-09T00:04:10.849784351Z
339,270,-82.39612087980606,152830,5072,40.00122667,116.3283167,-82,10.2,2019-03-09T00:04:20.312754185Z
