Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
353,264,-120.23249407632485,173317,8,39.999935,116.32762,-110,-9.8,2019-03-15T00:13:32.174022781Z
353,264,-115.37736039420676,173319,9,39.999935,116.32762,-108,-6.5,2019-03-15T00:13:37.588991877Z
353,260,-109.1244260279434,173322,10,39.99992167,116.3271433,-107,2,2019-03-15T00:13:46.046056861Z
353,256,-115.63215008122022,173324,11,39.999955,116.32664,-111,-2.8,2019-03-15T00:13:51.383460849Z
353,252,-117.10373555853747,173326,12,39.99995167,116.3261783,-112,-3.5,2019-03-15T00:13:59.932914201Z
353,248,-116.04220837241459,173329,13,39.99988667,116.3257,-110,-4.8,2019-03-15T00:14:09.809661571Z
353,248,-124.45410721860875,173330,14,39.99988667,116.3257,-112,-12.2,2019-03-15T00:14:15.448743653Z
354,243,-126.94147873593691,173331,15,39.99981667,116.3252033,-112,-14.8,2019-03-15T00:14:21.125914622Z
354,243,-115.65161530835512,173334,16,39.99981667,116.3252033,-112,-1.2,2019-03-15T00:14:26.696086911Z
355,239,-113.81879480002063,173337,17,39.99972667,116.324665,-108,-4.5,2019-03-15T00:14:31.74642276Z
355,239,-119.21081852649533,173340,18,39.99972667,116.324665,-111,-7.5,2019-03-15T00:14:37.496887509Z
354,234,-120.33195619988427,173343,19,39.99982833,116.3241533,-109,-11,2019-03-15T00:14:46.48995053Z
354,234,-120.69305820175224,173347,20,39.99982833,116.3241533,-111,-9.2,2019-03-15T00:14:52.123891628Z
354,230,-117.59612087980607,173351,21,39.999825,116.32366,-107,-10.2,2019-03-15T00:15:02.100434698Z
354,226,-120.6389203414338,173354,22,39.99978167,116.3231367,-112,-8,2019-03-15T00:15:11.088134735Z
355,219,-120.79009749652566,173360,23,39.99968333,116.322295,-113,-7,2019-03-15T00:15:20.077508767Z
355,219,-114.42869465226148,173363,24,39.99968333,116.322295,-111,-0.8,2019-03-15T00:15:30.028366914Z
353,215,-115.62401015882706,173367,25,39.99992167,116.3218667,-108,-6.8,2019-03-15T00:15:35.548004355Z
349,215,-119.6389203414338,173370,26,40.00021167,116.32183,-111,-8,2019-03-15T00:15:43.960815117Z
349,215,-121.59612087980607,173372,27,40.00021167,116.32183,-111,-10.2,2019-03-15T00:15:49.232106303Z
349,215,-112.42869465226148,173376,28,40.00021167,116.32183,-109,-0.8,2019-03-15T00:15:55.06987879Z
349,215,-110.65161530835512,173381,29,40.00021167,116.32183,-107,-1.2,2019-03-15T00:16:04.405722782Z
338,214,-117.31329815912463,173384,30,40.00122333,116.32171,-112,-3.8,2019-03-15T00:16:14.821212536Z
338,214,-119.46683163887967,173387,31,40.00122333,116.32171,-111,-7.8,2019-03-15T00:16:24.710464868Z
338,214,-114.31329815912463,173391,32,40.00122333,116.32171,-109,-3.8,2019-03-15T00:16:34.002351992Z
335,207,-114.43775920356249,173395,33,40.00149,116.32092,-110,-2.5,2019-03-15T00:16:43.727365817Z
334,204,-121.46683163887967,173397,34,40.00154833,116.3205717,-113,-7.8,2019-03-15T00:16:49.51661845Z
335,201,-120.96183611348224,173401,35,40.00146833,116.3202167,-111,-9.5,2019-03-15T00:16:58.719236842Z
340,201,-127.65142276599207,173403,36,40.00106333,116.3201883,-113,-14.5,2019-03-15T00:17:07.358611924Z
340,201,-126.36205277696111,173407,38,40.00106333,116.3201883,-112,-14.2,2019-03-15T00:17:18.31310106Z
340,201,-126.16954289279533,173410,40,40.00106333,116.3201883,-112,-14,2019-03-15T00:17:29.145831562Z
340,201,-122.23249407632485,173412,41,40.00106333,116.3201883,-112,-9.8,2019-03-15T00:17:34.281363155Z
340,201,-124.0778545523916,173414,42,40.00106333,116.3201883,-112,-11.8,2019-03-15T00:17:44.515477453Z
345,193,-126.13520922108039,173420,45,40.00057333,116.31932,-111,-15,2019-03-15T00:18:01.754318211Z
346,193,-127.13520922108039,173423,46,40.00052333,116.319235,-112,-15,2019-03-15T01:29:41.92433468Z
346,192,-124.21238401914255,173453,7,40.00054333,116.3191533,-111,-13,2019-03-15T00:19:53.723675486Z
345,189,-121.0738221927363,173454,8,40.000605,116.3188667,-112,-8.5,2019-03-15T00:19:59.616467451Z
345,189,-115.00289472231206,173458,9,40.000605,116.3188667,-111,-1.8,2019-03-15T00:20:04.654890105Z
345,189,-115.45540463109293,173463,10,40.000605,116.3188667,-110,-4,2019-03-15T00:20:10.15108264Z
345,185,-117.81879480002063,173467,11,40.00054333,116.31834,-112,-4.5,2019-03-15T00:20:15.235245882Z
345,185,-121.96183611348224,173471,12,40.00054333,116.31834,-112,-9.5,2019-03-15T00:20:21.240038839Z
350,184,-122.69305820175224,173475,13,40.000155,116.3182417,-113,-9.2,2019-03-15T00:20:30.526735259Z
354,184,-115.43775920356249,173481,14,39.99980333,116.318225,-111,-2.5,2019-03-15T00:20:40.525949266Z
354,184,-120.33779541063677,173484,15,39.99980333,116.318225,-111,-8.8,2019-03-15T00:20:46.231589915Z
354,184,-120.96183611348224,173488,16,39.99980333,116.318225,-111,-9.5,2019-03-15T00:20:55.107025036Z
354,184,-123.79706163635328,173490,17,39.99980333,116.318225,-112,-11.5,2019-03-15T00:21:00.611498496Z
354,184,-121.41392685158225,173494,18,39.99980333,116.318225,-111,-10,2019-03-15T00:21:09.310883202Z
354,184,-121.96183611348224,173498,19,39.99980333,116.318225,-112,-9.5,2019-03-15T00:21:19.400182398Z
370,182,-127.94147873593691,173502,20,39.99832,116.31804,-113,-14.8,2019-03-15T00:21:25.340619934Z
370,182,-125.26572375596102,173506,21,39.99832,116.31804,-113,-12,2019-03-15T00:21:30.868282185Z
379,182,-128.13520922108037,173513,24,39.99756167,116.31798,-113,-15,2019-03-15T00:21:51.560576954Z
379,182,-127.62070769249443,173517,25,39.99756167,116.31798,-112,-15.5,2019-03-15T01:33:31.893804955Z
379,182,-125.65142276599207,173522,27,39.99756167,116.31798,-111,-14.5,2019-03-15T00:22:12.561613945Z
379,182,-128.13520922108037,173526,28,39.99756167,116.31798,-113,-15,2019-03-15T01:33:52.910708803Z
379,182,-125.7376019773414,173532,29,39.99756167,116.31798,-113,-12.5,2019-03-15T00:22:27.775330022Z
373,181,-126.21238401914255,173534,30,39.99806333,116.3178667,-113,-13,2019-03-15T00:22:33.776067015Z
370,181,-122.41392685158225,173538,31,39.99832167,116.31792,-112,-10,2019-03-15T00:22:39.231645915Z
370,181,-119.79009749652566,173542,32,39.99832167,116.31792,-112,-7,2019-03-15T00:22:48.807531732Z
370,181,-122.59612087980607,173546,33,39.99832167,116.31792,-112,-10.2,2019-03-15T00:22:54.617908438Z
370,181,-124.33195619988427,173550,34,39.99832167,116.31792,-113,-11,2019-03-15T00:22:59.69102378Z
370,181,-124.14699179957641,173555,36,39.99832167,116.31792,-113,-10.8,2019-03-15T00:23:10.55771298Z
358,184,-122.69305820175224,173559,37,39.99944333,116.3183033,-113,-9.2,2019-03-15T01:34:50.910568804Z
354,185,-125.9773721860196,173563,38,39.99977667,116.3183317,-112,-13.8,2019-03-15T00:23:21.748552263Z
350,184,-114.89859540490393,173569,40,40.00017833,116.318295,-110,-3.2,2019-03-15T00:23:40.218556032Z
350,184,-113.82474080687587,173573,41,40.00017833,116.318295,-110,-1.5,2019-03-15T00:23:50.043140611Z
342,183,-114.89859540490393,173578,42,40.00085667,116.31807,-110,-3.2,2019-03-15T00:23:55.189289296Z
338,182,-114.13380807687734,173584,43,40.00124667,116.3180183,-107,-6.2,2019-03-15T00:24:03.356076795Z
338,182,-118.41392685158225,173587,44,40.00124667,116.3180183,-108,-10,2019-03-15T00:24:09.156696589Z
333,182,-109.45161530835512,173588,45,40.00163167,116.3179967,-107,1.2,2019-03-15T00:24:18.441682024Z
329,181,-114.76434862436486,173592,46,40.001985,116.3179233,-110,-3,2019-03-15T00:24:24.246540781Z
329,181,-121.5149694202523,173595,47,40.001985,116.3179233,-112,-9,2019-03-15T00:24:29.597044626Z
325,181,-118.34609373817284,173598,48,40.00235167,116.317875,-112,-5.2,2019-03-15T00:24:35.459442865Z
322,181,-118.10373555853747,173602,49,40.00268333,116.31781,-113,-3.5,2019-03-15T00:24:44.121906902Z
322,181,-117.5993868649763,173606,50,40.00268333,116.31781,-112,-4.2,2019-03-15T00:24:49.816203654Z
318,178,-125.45410721860875,173611,51,40.00302333,116.3174983,-113,-12.2,2019-03-15T00:24:58.570785862Z
318,174,-124.26572375596102,173617,52,40.00301833,116.3170667,-112,-12,2019-03-15T00:25:08.705195653Z
318,174,-121.46683163887967,173620,53,40.00301833,116.3170667,-113,-7.8,2019-03-15T00:25:14.357936778Z
313,172,-118.81879480002063,173624,54,40.003445,116.3167983,-113,-4.5,2019-03-15T00:25:22.909351815Z
313,172,-117.04220837241459,173628,55,40.003445,116.3167983,-111,-4.8,2019-03-15T00:25:28.792317869Z
313,172,-120.6389203414338,173632,56,40.00346,116.31682,-112,-8,2019-03-15T00:25:34.374137632Z
313,172,-117.31329815912463,173638,57,40.00346167,116.3168267,-112,-3.8,2019-03-15T00:25:45.100683093Z
312,172,-119.5149694202523,173640,58,40.00352667,116.3168567,-110,-9,2019-03-15T00:25:53.353125821Z
312,172,-117.13380807687734,173644,59,40.00352667,116.3168567,-110,-6.2,2019-03-15T00:25:58.545685088Z
312,172,-118.5993868649763,173648,60,40.00352667,116.3168567,-113,-4.2,2019-03-15T00:26:04.43776606Z
312,172,-117.45540463109293,173652,61,40.00352667,116.3168567,-112,-4,2019-03-15T00:26:10.111780993Z
312,172,-118.46683163887967,173655,62,40.00352667,116.3168567,-110,-7.8,2019-03-15T00:26:20.347008876Z
295,172,-118.95746206410165,173663,64,40.00509833,116.3167417,-111,-7.2,2019-03-15T00:26:39.869111177Z
295,172,-120.13380807687734,173668,65,40.00509833,116.3167417,-113,-6.2,2019-03-15T00:26:50.28221846Z
295,172,-118.04220837241459,173672,66,40.00509833,116.3167417,-112,-4.8,2019-03-15T00:26:55.412273289Z
295,172,-121.23249407632485,173674,67,40.00509833,116.3167417,-111,-9.8,2019-03-15T00:27:01.235602879Z
290,172,-122.23249407632485,173677,68,40.00552333,116.3167233,-112,-9.8,2019-03-15T00:27:06.816411652Z
347,191,-123.26572375596102,173939,6,40.00040167,116.319005,-111,-12,2019-03-15T01:17:12.209084745Z
347,191,-122.79706163635328,173942,7,40.00040167,116.319005,-111,-11.5,2019-03-15T01:17:21.84155295Z
