Row,Column,ESP,ID,FrameCnt,Latitude,Longitude,RSSI,SNR,Time
254,209,-119.63215008122022,93075,30,40.00876333,116.321075,-115,-2.8,2018-12-23T00:04:38.688748112Z
258,208,-115.89859540490393,93079,31,40.00842667,116.3210183,-111,-3.2,2018-12-23T00:04:48.415897841Z
258,208,-117.24814186348229,93082,32,40.00842667,116.3210183,-113,-2.2,2018-12-23T00:04:53.910734892Z
262,209,-108.07833241382157,93087,33,40.008095,116.3210483,-107,5.5,2018-12-23T00:05:02.500091999Z
265,209,-113.65161530835512,93090,34,40.00779833,116.321065,-110,-1.2,2018-12-23T00:05:08.364110358Z
265,209,-121.21081852649533,93092,35,40.00779833,116.321065,-113,-7.5,2018-12-23T00:05:14.179289207Z
269,209,-126.02214159641585,93095,36,40.00747167,116.321075,-113,-12.8,2018-12-23T00:05:19.616115838Z
272,209,-114.10373555853747,93097,37,40.00715333,116.3210717,-109,-3.5,2018-12-23T00:05:24.95666974Z
272,209,-125.0778545523916,93102,38,40.00715333,116.3210717,-113,-11.8,2018-12-23T00:05:34.692788156Z
279,209,-122.41392685158225,93108,40,40.00656167,116.32111,-112,-10,2018-12-23T00:05:50.591945551Z
300,211,-129.94147873593693,93135,52,40.0047,116.321415,-115,-14.8,2018-12-23T00:07:10.79169475Z
310,212,-126.40304509533891,93150,58,40.00374,116.321465,-113,-13.2,2018-12-23T00:07:54.003135018Z
314,215,-133.06829128312452,93173,65,40.00337,116.3217967,-115,-18,2018-12-23T00:08:54.327081308Z
314,215,-118.31329815912463,93175,66,40.00343333,116.3218517,-113,-3.8,2018-12-23T00:09:00.280181801Z
314,215,-121.81209675612978,93180,67,40.00341167,116.321845,-113,-8.2,2018-12-23T00:09:10.352604526Z
314,215,-112.1244260279434,93182,68,40.00340167,116.3218333,-110,2,2018-12-23T00:09:15.594838948Z
314,215,-116.10373555853747,93185,69,40.00340167,116.3218333,-111,-3.5,2018-12-23T00:09:20.626267262Z
314,215,-119.89859540490393,93189,70,40.00338167,116.3218083,-115,-3.2,2018-12-23T00:09:30.375188751Z
315,215,-116.26749156458187,93192,71,40.00330167,116.3218517,-113,-0.5,2018-12-23T00:09:36.275457754Z
316,215,-118.95746206410165,93196,72,40.00322333,116.32187,-111,-7.2,2018-12-23T01:21:20.98600386Z
317,215,-115.26749156458187,93201,73,40.003135,116.3218667,-112,-0.5,2018-12-23T00:09:55.51800918Z
317,215,-126.9773721860196,93204,74,40.003135,116.3218667,-113,-13.8,2018-12-23T00:10:00.538643386Z
318,216,-120.62401015882706,93208,76,40.00308667,116.3219267,-113,-6.8,2018-12-23T00:10:11.684906849Z
319,215,-126.79706163635328,93215,78,40.00297833,116.321785,-115,-11.5,2018-12-23T00:10:26.428381283Z
319,215,-123.8707776445072,93219,79,40.00297833,116.321785,-113,-10.5,2018-12-23T00:10:35.967495674Z
289,211,-121.46683163887967,98320,35,40.00564333,116.321365,-113,-7.8,2018-12-23T09:58:54.769572847Z
285,211,-126.65142276599207,98321,36,40.00597333,116.321355,-112,-14.5,2018-12-23T09:59:04.22602213Z
282,211,-125.02214159641585,98322,37,40.00632167,116.3213217,-112,-12.8,2018-12-23T11:10:44.985808929Z
282,211,-121.33779541063677,98323,38,40.00632167,116.3213217,-112,-8.8,2018-12-23T09:59:15.05016925Z
278,210,-129.28197456784994,98324,39,40.00664,116.3212317,-112,-17.2,2018-12-23T09:59:20.249950249Z
277,209,-104.19331048066094,98325,43,40.00676333,116.3210717,-103,5,2018-12-23T09:59:54.238102666Z
277,209,-102.32474080687587,98326,44,40.006775,116.3210683,-100,1.5,2018-12-23T09:59:59.500955506Z
276,209,-109.62869465226149,98327,45,40.00678333,116.3210483,-107,0.8,2018-12-23T10:00:09.660563623Z
276,209,-109.20289472231207,98328,46,40.00678333,116.3210483,-107,1.8,2018-12-23T10:00:14.801195608Z
276,208,-109.62869465226149,98329,47,40.00683667,116.3210233,-107,0.8,2018-12-23T10:00:25.065460458Z
275,208,-125.02214159641585,98330,48,40.00689,116.3209917,-112,-12.8,2018-12-23T10:00:35.23571865Z
275,208,-116.43775920356249,98331,49,40.00687667,116.3209933,-112,-2.5,2018-12-23T10:00:44.810168671Z
274,207,-115.45540463109293,98332,50,40.00697167,116.32091,-110,-4,2018-12-23T10:00:49.916464415Z
274,207,-119.79009749652566,98333,51,40.00697167,116.32091,-112,-7,2018-12-23T10:00:55.089216624Z
274,207,-115.81879480002063,98334,52,40.00696833,116.3208717,-110,-4.5,2018-12-23T10:01:00.478955352Z
274,207,-114.31329815912463,98335,53,40.00698667,116.3208233,-109,-3.8,2018-12-23T10:01:05.960865726Z
274,207,-114.63215008122022,98336,54,40.00698667,116.3208233,-110,-2.8,2018-12-23T10:01:11.856072992Z
274,207,-114.10373555853747,98337,55,40.00698833,116.320825,-109,-3.5,2018-12-23T10:01:20.613849296Z
274,207,-116.04220837241459,98338,56,40.00698833,116.320825,-110,-4.8,2018-12-23T10:01:25.63143542Z
274,207,-120.33779541063677,98339,57,40.00699167,116.32084,-111,-8.8,2018-12-23T10:01:35.377706643Z
276,209,-114.43775920356249,98344,4,40.00681667,116.3210633,-110,-2.5,2018-12-23T10:49:56.61705168Z
277,209,-120.23249407632485,98345,6,40.00677,116.3210533,-110,-9.8,2018-12-23T10:50:11.80989433Z
277,209,-115.26749156458187,98346,7,40.006765,116.3211167,-112,-0.5,2018-12-23T10:50:21.002677981Z
277,209,-119.79009749652566,98347,8,40.006765,116.3211167,-112,-7,2018-12-23T10:50:26.112371213Z
276,210,-118.57833241382157,98348,9,40.00682833,116.3212517,-112,-5.5,2018-12-23T10:50:36.20278858Z
274,210,-111.3993868649763,98349,11,40.00700167,116.3212567,-110,4.2,2018-12-23T10:50:46.772493592Z
271,210,-106.93775920356249,98350,12,40.00729167,116.321225,-105,2.5,2018-12-23T10:50:52.489274575Z
271,210,-105.87736039420676,98351,13,40.00729167,116.321225,-105,6.5,2018-12-23T10:50:57.933060468Z
267,210,-98.07833241382157,98352,14,40.00760333,116.3212067,-97,5.5,2018-12-23T10:51:07.094719336Z
265,210,-100.79009749652566,98353,15,40.00779833,116.3211867,-100,7,2018-12-23T10:51:12.238048333Z
265,210,-103.97322793708696,98354,16,40.00779833,116.3211867,-103,6,2018-12-23T10:51:17.401056192Z
263,210,-107.93775920356249,98355,17,40.00803,116.3211783,-106,2.5,2018-12-23T10:51:26.480220638Z
260,210,-118.13380807687734,98356,18,40.008285,116.3211567,-111,-6.2,2018-12-23T10:51:35.152590931Z
257,210,-113.53901891043867,98357,19,40.00850833,116.3211567,-110,-1,2018-12-23T10:51:45.348922557Z
255,210,-116.45540463109293,98358,20,40.008675,116.3211833,-111,-4,2018-12-23T10:51:50.845560081Z
255,210,-112.53901891043867,98359,21,40.008675,116.3211833,-109,-1,2018-12-23T10:51:59.305888858Z
254,211,-108.01029995663981,98360,22,40.00884833,116.32135,-105,0,2018-12-23T10:52:04.770474606Z
254,211,-109.82474080687587,98361,23,40.00884833,116.32135,-106,-1.5,2018-12-23T10:52:09.933849463Z
252,213,-108.62869465226149,98362,24,40.008985,116.3215317,-106,0.8,2018-12-23T10:52:15.156782902Z
250,215,-112.76434862436486,98363,25,40.00915333,116.321735,-108,-3,2018-12-23T10:52:23.783304516Z
250,215,-112.5993868649763,98364,26,40.00915333,116.321735,-107,-4.2,2018-12-23T10:52:29.265008144Z
249,216,-113.43775920356249,98365,27,40.00929167,116.3219083,-109,-2.5,2018-12-23T10:52:38.771556599Z
248,218,-105.93775920356249,98366,28,40.00938333,116.3221667,-104,2.5,2018-12-23T10:52:44.134845056Z
247,221,-95.75746206410165,98367,29,40.00945833,116.3224733,-95,7.2,2018-12-23T10:52:53.567201029Z
